Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J10-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
Alabama,2019,52,2019-12-28,1034,948,17,194,33,53,15,55,22,21,20,256,49,0,0,,,,,,,,,,,,,,,
Alabama,2020,1,2020-01-04,1075,1002,15,196,25,54,28,85,13,25,25,265,81,0,0,,,,,,,,,,,,,,,
Alabama,2020,2,2020-01-11,1123,1058,25,197,17,41,27,72,20,23,34,273,68,0,0,,,,,,,,,,,,,,,
Alabama,2020,3,2020-01-18,1033,974,28,200,23,53,31,73,21,23,26,238,45,0,0,,,,,,,,,,,,,,,
Alabama,2020,4,2020-01-25,1046,977,15,189,23,54,29,61,11,14,30,281,70,0,0,,,,,,,,,,,,,,,
Alabama,2020,5,2020-02-01,1019,946,15,156,16,58,31,76,17,20,24,263,55,0,0,,,,,,,,,,,,,,,
Alabama,2020,6,2020-02-08,1108,1020,26,191,24,45,28,70,20,24,34,296,52,0,0,,,,,,,,,,,,,,,
Alabama,2020,7,2020-02-15,1080,1011,17,193,24,50,35,73,23,17,28,250,80,0,0,,,,,,,,,,,,,,,
Alabama,2020,8,2020-02-22,1082,1013,17,220,26,47,24,65,12,12,25,280,73,0,0,,,,,,,,,,,,,,,
Alabama,2020,9,2020-02-29,1144,1086,21,211,27,61,31,87,20,20,30,290,59,0,0,,,,,,,,,,,,,,,
Alabama,2020,10,2020-03-07,1035,958,18,143,22,65,34,60,24,23,43,259,56,0,0,,,,,,,,,,,,,,,
Alabama,2020,11,2020-03-14,1064,1000,16,199,28,64,30,74,27,27,34,253,67,0,0,,,,,,,,,,,,,,,
Alabama,2020,12,2020-03-21,1036,973,17,223,24,46,27,65,24,22,29,251,70,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Alabama,2020,13,2020-03-28,1038,979,14,184,20,65,25,75,23,15,45,229,66,22,20,,,,,,,,,,,,,,,
Alabama,2020,14,2020-04-04,1120,1053,27,198,31,72,22,66,23,22,33,248,63,49,45,,,,,,,,,,,,,,,
Alabama,2020,15,2020-04-11,1095,1025,24,161,30,63,17,61,19,18,34,252,63,80,76,,,,,,,,,,,,,,,
Alabama,2020,16,2020-04-18,1083,1015,20,178,30,60,18,67,22,17,30,234,62,87,79,,,,,,,,,,,,,,,
Alabama,2020,17,2020-04-25,1040,973,19,189,23,52,22,49,13,17,32,238,60,72,64,,,,,,,,,,,,,,,
Alabama,2020,18,2020-05-02,1008,956,13,188,18,55,26,60,17,22,23,234,57,68,62,,,,,,,,,,,,,,,
Alabama,2020,19,2020-05-09,920,878,16,164,20,39,11,47,19,12,31,243,45,82,71,,,,,,,,,,,,,,,
Alabama,2020,20,2020-05-16,653,621,,120,17,32,10,44,12,11,18,158,33,38,37,,,Suppressed (counts 1-9),,,,,,,,,,,,
Alaska,2019,1,2019-01-05,93,82,,19,,,0,,,,0,22,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2019,2,2019-01-12,87,72,,14,,,,,,0,,13,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2019,3,2019-01-19,94,78,,16,,,,,,0,,18,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2019,4,2019-01-26,88,75,0,27,,,0,,0,0,0,17,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,
Alaska,2019,5,2019-02-02,99,73,,21,,,,,,0,,15,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2019,6,2019-02-09,96,88,,30,,,,,0,,,13,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2019,7,2019-02-16,99,80,0,17,,,,,,,,18,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
